station_id,network,longitude,latitude,elevation_m,year,valid_tmax_days,valid_tmin_days,h02_mean_daily_max_c,h03_mean_daily_min_c,h04_heatwave_days,h05_tropical_nights,h06_wsdi_days,h07_annual_max_daily_max_c,h08_tx90p_days,h09_maximum_warm_spell_days,percentile_baseline_status,quality_status
137,ASOS,128.15741,36.40837,96.58,2022,358,358,18.89636871508381,8.394692737430166,18,10,,35.8,,,1991-2020_BASELINE_PENDING,PASS
137,ASOS,128.15741,36.40837,96.58,2023,358,358,19.474860335195547,9.016480446927368,16,5,,35.5,,,1991-2020_BASELINE_PENDING,PASS
137,ASOS,128.15741,36.40837,96.58,2024,359,359,19.738718662952657,10.207799442896933,36,16,,35.6,,,1991-2020_BASELINE_PENDING,PASS
137,ASOS,128.15741,36.40837,96.58,2025,358,358,19.197765363128475,9.288268156424582,34,13,,36.2,,,1991-2020_BASELINE_PENDING,PASS
138,ASOS,129.38002,36.03201,3.94,2021,358,358,19.0905027932961,11.776536312849137,9,21,,34.9,,,1991-2020_BASELINE_PENDING,PASS
138,ASOS,129.38002,36.03201,3.94,2022,358,358,19.331843575418993,11.443016759776535,21,23,,37.7,,,1991-2020_BASELINE_PENDING,PASS
138,ASOS,129.38002,36.03201,3.94,2023,358,358,19.723743016759773,12.193854748603352,19,19,,36.4,,,1991-2020_BASELINE_PENDING,PASS
138,ASOS,129.38002,36.03201,3.94,2024,359,359,19.84986072423398,12.86072423398328,25,47,,37.3,,,1991-2020_BASELINE_PENDING,PASS
138,ASOS,129.38002,36.03201,3.94,2025,358,358,19.69189944134079,12.050837988826816,40,42,,36.5,,,1991-2020_BASELINE_PENDING,PASS
140,ASOS,126.76135,36.0053,27.85,2021,357,357,18.483753501400553,10.140056022408963,7,3,,33.9,,,1991-2020_BASELINE_PENDING,PASS
140,ASOS,126.76135,36.0053,27.85,2022,355,355,17.82760563380281,9.15943661971832,5,16,,35.4,,,1991-2020_BASELINE_PENDING,PASS
140,ASOS,126.76135,36.0053,27.85,2023,358,358,18.6513966480447,9.912569832402228,10,6,,35.5,,,1991-2020_BASELINE_PENDING,PASS
140,ASOS,126.76135,36.0053,27.85,2024,359,359,19.144011142061277,11.011699164345407,22,36,,35.1,,,1991-2020_BASELINE_PENDING,PASS
140,ASOS,126.76135,36.0053,27.85,2025,358,358,18.51983240223464,10.00558659217877,14,18,,35.5,,,1991-2020_BASELINE_PENDING,PASS
143,ASOS,128.65296,35.87797,54.27,2021,358,358,19.845251396648035,10.156145251396651,18,6,,36.2,,,1991-2020_BASELINE_PENDING,PASS
143,ASOS,128.65296,35.87797,54.27,2022,358,358,20.022067039106155,9.98324022346369,32,26,,37.1,,,1991-2020_BASELINE_PENDING,PASS
143,ASOS,128.65296,35.87797,54.27,2023,358,358,20.450558659217887,10.46452513966481,21,11,,37.6,,,1991-2020_BASELINE_PENDING,PASS
143,ASOS,128.65296,35.87797,54.27,2024,359,359,20.879387186629522,11.458774373259063,50,34,,36.8,,,1991-2020_BASELINE_PENDING,PASS
143,ASOS,128.65296,35.87797,54.27,2025,358,358,20.33072625698325,10.53882681564246,46,25,,37.4,,,1991-2020_BASELINE_PENDING,PASS
146,ASOS,127.11718,35.84092,60.44,2021,358,358,19.383798882681567,10.468156424581005,15,10,,34.3,,,1991-2020_BASELINE_PENDING,PASS
146,ASOS,127.11718,35.84092,60.44,2022,358,358,18.930446927374316,9.891620111731841,8,20,,35,,,1991-2020_BASELINE_PENDING,PASS
146,ASOS,127.11718,35.84092,60.44,2023,358,358,19.646927374301686,10.680446927374303,15,16,,34.5,,,1991-2020_BASELINE_PENDING,PASS
146,ASOS,127.11718,35.84092,60.44,2024,359,359,20.241504178272987,11.894150417827287,32,43,,36.2,,,1991-2020_BASELINE_PENDING,PASS
146,ASOS,127.11718,35.84092,60.44,2025,358,358,19.844413407821236,10.80977653631285,42,36,,37.1,,,1991-2020_BASELINE_PENDING,PASS
152,ASOS,129.33469,35.58237,81.14,2021,358,358,19.14162011173183,11.190223463687149,3,4,,33.4,,,1991-2020_BASELINE_PENDING,PASS
152,ASOS,129.33469,35.58237,81.14,2022,358,358,19.009497206703912,10.940782122905025,8,19,,34.5,,,1991-2020_BASELINE_PENDING,PASS
