station_id,longitude,latitude,elevation_m,year,valid_days,heatwave_days,valid_nights,tropical_nights,wsdi_days,maximum_warm_spell_days
259,126.78408,34.64457,16.19,2022,358,7,351,25,0,2
259,126.78408,34.64457,16.19,2023,358,13,351,14,0,3
259,126.78408,34.64457,16.19,2024,357,39,350,34,0,3
259,126.78408,34.64457,16.19,2025,351,37,347,18,0,4
260,126.91951,34.68886,43.99,2021,358,3,351,4,0,3
260,126.91951,34.68886,43.99,2022,358,3,351,18,0,2
260,126.91951,34.68886,43.99,2023,358,6,351,10,0,5
260,126.91951,34.68886,43.99,2024,359,28,352,23,0,3
260,126.91951,34.68886,43.99,2025,357,29,350,13,0,5
261,126.56907,34.55375,16.36,2021,358,4,351,5,0,3
261,126.56907,34.55375,16.36,2022,353,3,347,23,0,2
261,126.56907,34.55375,16.36,2023,352,9,346,11,6,6
261,126.56907,34.55375,16.36,2024,359,29,352,30,0,4
261,126.56907,34.55375,16.36,2025,358,22,351,21,0,3
262,127.27572,34.61826,51.91,2021,358,3,351,3,0,3
262,127.27572,34.61826,51.91,2022,358,0,351,13,0,1
262,127.27572,34.61826,51.91,2023,358,3,351,7,0,3
262,127.27572,34.61826,51.91,2024,359,37,352,27,0,3
262,127.27572,34.61826,51.91,2025,358,37,351,12,0,3
263,128.28812,35.32258,14.1,2021,358,22,351,1,0,4
263,128.28812,35.32258,14.1,2022,358,26,351,21,0,2
263,128.28812,35.32258,14.1,2023,352,24,346,11,0,4
263,128.28812,35.32258,14.1,2024,358,55,351,40,0,3
263,128.28812,35.32258,14.1,2025,354,34,348,3,0,2
264,127.74538,35.51138,152.07,2021,357,12,350,0,0,4
264,127.74538,35.51138,152.07,2022,358,14,351,3,0,4
264,127.74538,35.51138,152.07,2023,357,23,350,2,0,5
264,127.74538,35.51138,152.07,2024,357,47,351,12,0,3
264,127.74538,35.51138,152.07,2025,356,40,350,3,0,4
266,127.6914,34.9434,88.21,2021,358,7,350,14,0,3
266,127.6914,34.9434,88.21,2022,358,10,351,24,0,3
266,127.6914,34.9434,88.21,2023,358,11,350,15,0,3
266,127.6914,34.9434,88.21,2024,359,39,352,45,0,3
266,127.6914,34.9434,88.21,2025,358,34,351,29,0,4
268,126.25846,34.47296,9.82,2021,350,0,344,6,0,3
268,126.25846,34.47296,9.82,2022,351,0,345,20,0,3
268,126.25846,34.47296,9.82,2023,356,4,350,9,7,7
268,126.25846,34.47296,9.82,2024,359,10,352,30,0,3
268,126.25846,34.47296,9.82,2025,358,7,351,20,0,3
271,128.91449,36.94361,324.67,2021,358,0,351,0,0,2
271,128.91449,36.94361,324.67,2022,358,1,351,0,0,4
271,128.91449,36.94361,324.67,2023,358,0,351,0,0,4
271,128.91449,36.94361,324.67,2024,357,2,352,1,0,4
271,128.91449,36.94361,324.67,2025,358,17,351,0,0,5
272,128.51687,36.87183,211.32,2021,358,6,350,0,0,3
272,128.51687,36.87183,211.32,2022,358,7,351,0,0,4
272,128.51687,36.87183,211.32,2023,358,7,351,0,0,4
272,128.51687,36.87183,211.32,2024,359,13,352,2,0,4
272,128.51687,36.87183,211.32,2025,358,19,351,0,0,5
273,128.14879,36.62727,173.01,2021,358,6,351,0,0,3
273,128.14879,36.62727,173.01,2022,358,9,351,2,0,4
273,128.14879,36.62727,173.01,2023,358,8,351,0,0,3
273,128.14879,36.62727,173.01,2024,359,15,352,6,0,3
273,128.14879,36.62727,173.01,2025,358,26,351,1,0,5
276,129.04005,36.4351,208.65,2021,358,13,350,0,0,3
276,129.04005,36.4351,208.65,2022,358,15,351,1,0,4
276,129.04005,36.4351,208.65,2023,358,18,351,0,0,5
276,129.04005,36.4351,208.65,2024,359,42,352,2,0,4
276,129.04005,36.4351,208.65,2025,358,47,350,0,0,4
277,129.40926,36.53337,40.71,2021,358,3,351,0,0,3
277,129.40926,36.53337,40.71,2022,358,9,351,8,0,2
277,129.40926,36.53337,40.71,2023,356,2,347,1,0,3
277,129.40926,36.53337,40.71,2024,358,15,351,17,0,2
277,129.40926,36.53337,40.71,2025,358,30,351,17,0,3
278,128.68864,36.3561,81.44,2021,358,20,351,0,0,3
278,128.68864,36.3561,81.44,2022,358,21,351,3,0,3
278,128.68864,36.3561,81.44,2023,358,20,350,1,0,4
278,128.68864,36.3561,81.44,2024,359,51,352,8,0,4
278,128.68864,36.3561,81.44,2025,358,48,351,3,0,4
279,128.32055,36.13055,49.17,2021,358,14,351,0,0,3
279,128.32055,36.13055,49.17,2022,358,18,351,10,0,3
279,128.32055,36.13055,49.17,2023,358,18,351,7,0,4
279,128.32055,36.13055,49.17,2024,359,40,352,17,0,5
279,128.32055,36.13055,49.17,2025,357,47,351,12,0,4
281,128.9514,35.97742,96.12,2021,358,9,351,0,0,3
281,128.9514,35.97742,96.12,2022,358,9,351,10,0,3
281,128.9514,35.97742,96.12,2023,358,14,351,0,0,5
281,128.9514,35.97742,96.12,2024,359,37,352,18,0,3
