station_id,network,longitude,latitude,elevation_m,year,valid_tmax_days,valid_tmin_days,h02_mean_daily_max_c,h03_mean_daily_min_c,h04_heatwave_days,h05_tropical_nights,h06_wsdi_days,h07_annual_max_daily_max_c,h08_tx90p_days,h09_maximum_warm_spell_days,baseline_years,percentile_baseline_status,quality_status
159,ASOS,129.03203,35.10468,69.56,2025,358,0,19.80111731843576,,9,0,26,34.5,81,12,30,PASS,INSUFFICIENT_DAYS
162,ASOS,128.43561,34.84541,31.24,2021,358,0,19.654469273743015,,4,0,21,36.1,84,9,30,PASS,INSUFFICIENT_DAYS
162,ASOS,128.43561,34.84541,31.24,2022,358,0,19.187430167597768,,1,0,6,33,54,6,30,PASS,INSUFFICIENT_DAYS
162,ASOS,128.43561,34.84541,31.24,2023,357,0,19.755462184873952,,4,0,21,34.9,79,9,30,PASS,INSUFFICIENT_DAYS
162,ASOS,128.43561,34.84541,31.24,2024,358,0,20.210335195530725,,17,0,34,34.8,94,22,30,PASS,INSUFFICIENT_DAYS
162,ASOS,128.43561,34.84541,31.24,2025,358,0,19.58240223463687,,9,0,39,34.4,96,11,30,PASS,INSUFFICIENT_DAYS
165,ASOS,126.38151,34.81732,44.7,2021,358,0,18.735474860335195,,2,0,6,33.3,58,6,30,PASS,INSUFFICIENT_DAYS
165,ASOS,126.38151,34.81732,44.7,2022,358,0,18.01955307262568,,3,0,0,33.4,39,5,30,PASS,INSUFFICIENT_DAYS
165,ASOS,126.38151,34.81732,44.7,2023,358,0,18.60474860335196,,6,0,7,34.1,54,7,30,PASS,INSUFFICIENT_DAYS
165,ASOS,126.38151,34.81732,44.7,2024,359,0,19.233426183843992,,14,0,13,34.9,68,13,30,PASS,INSUFFICIENT_DAYS
165,ASOS,126.38151,34.81732,44.7,2025,358,0,18.681843575419,,13,0,32,34.8,75,11,30,PASS,INSUFFICIENT_DAYS
168,ASOS,127.74063,34.73929,65.93,2021,358,0,19.086592178770935,,3,0,15,34,79,9,30,PASS,INSUFFICIENT_DAYS
168,ASOS,127.74063,34.73929,65.93,2022,358,0,18.62653631284918,,0,0,6,32.4,58,6,30,PASS,INSUFFICIENT_DAYS
168,ASOS,127.74063,34.73929,65.93,2023,358,0,18.9891061452514,,3,0,28,33.8,75,9,30,PASS,INSUFFICIENT_DAYS
168,ASOS,127.74063,34.73929,65.93,2024,359,0,19.55431754874652,,8,0,41,33.8,104,18,30,PASS,INSUFFICIENT_DAYS
