grid_id,gid,lbl,centroid_x,centroid_y,row,col
356,다사554263,,955450.0,1926350.0,18,63
357,다사555263,,955550.0,1926350.0,18,64
358,다사556263,,955650.0,1926350.0,18,65
359,다사557263,,955750.0,1926350.0,18,66
360,다사558263,,955850.0,1926350.0,18,67
361,다사559263,,955950.0,1926350.0,18,68
362,다사560263,,956050.0,1926350.0,18,69
363,다사561263,,956150.0,1926350.0,18,70
364,다사562263,,956250.0,1926350.0,18,71
365,다사563263,,956350.0,1926350.0,18,72
366,다사564263,,956450.0,1926350.0,18,73
367,다사565263,,956550.0,1926350.0,18,74
368,다사566263,,956650.0,1926350.0,18,75
369,다사567263,,956750.0,1926350.0,18,76
370,다사568263,,956850.0,1926350.0,18,77
371,다사569263,,956950.0,1926350.0,18,78
372,다사570263,,957050.0,1926350.0,18,79
373,다사571263,,957150.0,1926350.0,18,80
374,다사572263,14.00,957250.0,1926350.0,18,81
375,다사573263,,957350.0,1926350.0,18,82
376,다사574263,,957450.0,1926350.0,18,83
377,다사575263,,957550.0,1926350.0,18,84
378,다사576263,,957650.0,1926350.0,18,85
379,다사577263,,957750.0,1926350.0,18,86
380,다사578263,,957850.0,1926350.0,18,87
381,다사579263,,957950.0,1926350.0,18,88
382,다사580263,,958050.0,1926350.0,18,89
383,다사581263,,958150.0,1926350.0,18,90
384,다사582263,,958250.0,1926350.0,18,91
385,다사583263,,958350.0,1926350.0,18,92
386,다사584263,,958450.0,1926350.0,18,93
387,다사585263,,958550.0,1926350.0,18,94
388,다사586263,,958650.0,1926350.0,18,95
389,다사549262,,954950.0,1926250.0,19,58
390,다사550262,,955050.0,1926250.0,19,59
391,다사551262,,955150.0,1926250.0,19,60
392,다사552262,,955250.0,1926250.0,19,61
393,다사553262,,955350.0,1926250.0,19,62
394,다사554262,,955450.0,1926250.0,19,63
395,다사555262,,955550.0,1926250.0,19,64
396,다사556262,,955650.0,1926250.0,19,65
397,다사557262,,955750.0,1926250.0,19,66
398,다사558262,,955850.0,1926250.0,19,67
399,다사559262,,955950.0,1926250.0,19,68
400,다사560262,,956050.0,1926250.0,19,69
401,다사561262,,956150.0,1926250.0,19,70
402,다사562262,,956250.0,1926250.0,19,71
403,다사563262,,956350.0,1926250.0,19,72
404,다사564262,,956450.0,1926250.0,19,73
405,다사565262,,956550.0,1926250.0,19,74
406,다사566262,,956650.0,1926250.0,19,75
407,다사567262,,956750.0,1926250.0,19,76
408,다사568262,,956850.0,1926250.0,19,77
409,다사569262,,956950.0,1926250.0,19,78
410,다사570262,,957050.0,1926250.0,19,79
411,다사571262,,957150.0,1926250.0,19,80
412,다사572262,N/A,957250.0,1926250.0,19,81
413,다사573262,N/A,957350.0,1926250.0,19,82
414,다사574262,,957450.0,1926250.0,19,83
415,다사575262,,957550.0,1926250.0,19,84
416,다사576262,,957650.0,1926250.0,19,85
417,다사577262,,957750.0,1926250.0,19,86
418,다사578262,,957850.0,1926250.0,19,87
419,다사579262,,957950.0,1926250.0,19,88
420,다사580262,,958050.0,1926250.0,19,89
421,다사581262,,958150.0,1926250.0,19,90
422,다사582262,,958250.0,1926250.0,19,91
423,다사583262,,958350.0,1926250.0,19,92
424,다사584262,,958450.0,1926250.0,19,93
425,다사585262,,958550.0,1926250.0,19,94
426,다사586262,,958650.0,1926250.0,19,95
427,다사587262,,958750.0,1926250.0,19,96
428,다사548261,,954850.0,1926150.0,20,57
429,다사549261,,954950.0,1926150.0,20,58
430,다사550261,,955050.0,1926150.0,20,59
431,다사551261,,955150.0,1926150.0,20,60
432,다사552261,,955250.0,1926150.0,20,61
433,다사553261,,955350.0,1926150.0,20,62
434,다사554261,,955450.0,1926150.0,20,63
435,다사555261,,955550.0,1926150.0,20,64
436,다사556261,,955650.0,1926150.0,20,65
437,다사557261,,955750.0,1926150.0,20,66
438,다사558261,,955850.0,1926150.0,20,67
439,다사559261,,955950.0,1926150.0,20,68
440,다사560261,,956050.0,1926150.0,20,69
441,다사561261,,956150.0,1926150.0,20,70
442,다사562261,,956250.0,1926150.0,20,71
443,다사563261,,956350.0,1926150.0,20,72
444,다사564261,,956450.0,1926150.0,20,73
445,다사565261,,956550.0,1926150.0,20,74
446,다사566261,,956650.0,1926150.0,20,75
447,다사567261,,956750.0,1926150.0,20,76
448,다사568261,,956850.0,1926150.0,20,77
449,다사569261,,956950.0,1926150.0,20,78
450,다사570261,N/A,957050.0,1926150.0,20,79
451,다사571261,11.00,957150.0,1926150.0,20,80
452,다사572261,,957250.0,1926150.0,20,81
453,다사573261,,957350.0,1926150.0,20,82
454,다사574261,,957450.0,1926150.0,20,83
455,다사575261,,957550.0,1926150.0,20,84
456,다사576261,,957650.0,1926150.0,20,85
457,다사577261,,957750.0,1926150.0,20,86
458,다사578261,,957850.0,1926150.0,20,87
459,다사579261,,957950.0,1926150.0,20,88
460,다사580261,,958050.0,1926150.0,20,89
461,다사581261,,958150.0,1926150.0,20,90
462,다사582261,,958250.0,1926150.0,20,91
463,다사583261,,958350.0,1926150.0,20,92
464,다사584261,,958450.0,1926150.0,20,93
465,다사585261,,958550.0,1926150.0,20,94
466,다사586261,,958650.0,1926150.0,20,95
467,다사587261,,958750.0,1926150.0,20,96
468,다사588261,,958850.0,1926150.0,20,97
469,다사547260,,954750.0,1926050.0,21,56
470,다사548260,,954850.0,1926050.0,21,57
471,다사549260,,954950.0,1926050.0,21,58
472,다사550260,,955050.0,1926050.0,21,59
473,다사551260,,955150.0,1926050.0,21,60
474,다사552260,,955250.0,1926050.0,21,61
475,다사553260,,955350.0,1926050.0,21,62
476,다사554260,,955450.0,1926050.0,21,63
477,다사555260,,955550.0,1926050.0,21,64
478,다사556260,,955650.0,1926050.0,21,65
479,다사557260,,955750.0,1926050.0,21,66
480,다사558260,,955850.0,1926050.0,21,67
481,다사559260,,955950.0,1926050.0,21,68
482,다사560260,,956050.0,1926050.0,21,69
483,다사561260,,956150.0,1926050.0,21,70
484,다사562260,,956250.0,1926050.0,21,71
485,다사563260,,956350.0,1926050.0,21,72
486,다사564260,,956450.0,1926050.0,21,73
487,다사565260,,956550.0,1926050.0,21,74
488,다사566260,,956650.0,1926050.0,21,75
489,다사567260,,956750.0,1926050.0,21,76
490,다사568260,,956850.0,1926050.0,21,77
491,다사569260,,956950.0,1926050.0,21,78
492,다사570260,16.00,957050.0,1926050.0,21,79
493,다사571260,10.00,957150.0,1926050.0,21,80
494,다사572260,,957250.0,1926050.0,21,81
495,다사573260,,957350.0,1926050.0,21,82
496,다사574260,,957450.0,1926050.0,21,83
497,다사575260,,957550.0,1926050.0,21,84
498,다사576260,,957650.0,1926050.0,21,85
499,다사577260,,957750.0,1926050.0,21,86
500,다사578260,,957850.0,1926050.0,21,87
501,다사579260,,957950.0,1926050.0,21,88
502,다사580260,,958050.0,1926050.0,21,89
503,다사581260,,958150.0,1926050.0,21,90
504,다사582260,,958250.0,1926050.0,21,91
505,다사583260,,958350.0,1926050.0,21,92
506,다사584260,,958450.0,1926050.0,21,93
507,다사585260,,958550.0,1926050.0,21,94
508,다사586260,,958650.0,1926050.0,21,95
509,다사587260,,958750.0,1926050.0,21,96
510,다사588260,,958850.0,1926050.0,21,97
511,다사531259,,953150.0,1925950.0,22,40
512,다사532259,,953250.0,1925950.0,22,41
513,다사533259,,953350.0,1925950.0,22,42
514,다사548259,,954850.0,1925950.0,22,57
515,다사549259,,954950.0,1925950.0,22,58
516,다사550259,,955050.0,1925950.0,22,59
517,다사551259,,955150.0,1925950.0,22,60
518,다사552259,,955250.0,1925950.0,22,61
519,다사553259,,955350.0,1925950.0,22,62
520,다사554259,,955450.0,1925950.0,22,63
521,다사555259,,955550.0,1925950.0,22,64
522,다사556259,,955650.0,1925950.0,22,65
523,다사557259,,955750.0,1925950.0,22,66
524,다사558259,,955850.0,1925950.0,22,67
525,다사559259,,955950.0,1925950.0,22,68
526,다사560259,,956050.0,1925950.0,22,69
527,다사561259,,956150.0,1925950.0,22,70
528,다사562259,,956250.0,1925950.0,22,71
529,다사563259,,956350.0,1925950.0,22,72
530,다사564259,,956450.0,1925950.0,22,73
531,다사565259,,956550.0,1925950.0,22,74
532,다사566259,,956650.0,1925950.0,22,75
533,다사567259,,956750.0,1925950.0,22,76
534,다사568259,,956850.0,1925950.0,22,77
535,다사569259,,956950.0,1925950.0,22,78
536,다사570259,8.00,957050.0,1925950.0,22,79
537,다사571259,N/A,957150.0,1925950.0,22,80
538,다사572259,,957250.0,1925950.0,22,81
539,다사573259,,957350.0,1925950.0,22,82
540,다사574259,,957450.0,1925950.0,22,83
541,다사575259,,957550.0,1925950.0,22,84
542,다사576259,,957650.0,1925950.0,22,85
543,다사577259,,957750.0,1925950.0,22,86
544,다사578259,,957850.0,1925950.0,22,87
545,다사579259,,957950.0,1925950.0,22,88
546,다사580259,,958050.0,1925950.0,22,89
547,다사581259,,958150.0,1925950.0,22,90
548,다사582259,,958250.0,1925950.0,22,91
549,다사583259,,958350.0,1925950.0,22,92
550,다사584259,,958450.0,1925950.0,22,93
551,다사585259,,958550.0,1925950.0,22,94
552,다사586259,,958650.0,1925950.0,22,95
553,다사587259,,958750.0,1925950.0,22,96
554,다사588259,,958850.0,1925950.0,22,97
555,다사530258,,953050.0,1925850.0,23,39
556,다사531258,,953150.0,1925850.0,23,40
557,다사532258,,953250.0,1925850.0,23,41
558,다사533258,,953350.0,1925850.0,23,42
559,다사547258,,954750.0,1925850.0,23,56
560,다사548258,,954850.0,1925850.0,23,57
561,다사549258,,954950.0,1925850.0,23,58
562,다사550258,,955050.0,1925850.0,23,59
563,다사551258,,955150.0,1925850.0,23,60
564,다사552258,,955250.0,1925850.0,23,61
565,다사553258,,955350.0,1925850.0,23,62
566,다사554258,,955450.0,1925850.0,23,63
567,다사555258,,955550.0,1925850.0,23,64
568,다사556258,,955650.0,1925850.0,23,65
569,다사557258,,955750.0,1925850.0,23,66
570,다사558258,,955850.0,1925850.0,23,67
571,다사559258,,955950.0,1925850.0,23,68
572,다사560258,,956050.0,1925850.0,23,69
573,다사561258,,956150.0,1925850.0,23,70
574,다사562258,,956250.0,1925850.0,23,71
575,다사563258,,956350.0,1925850.0,23,72
576,다사564258,,956450.0,1925850.0,23,73
577,다사565258,,956550.0,1925850.0,23,74
578,다사566258,,956650.0,1925850.0,23,75
579,다사567258,,956750.0,1925850.0,23,76
580,다사568258,,956850.0,1925850.0,23,77
581,다사569258,N/A,956950.0,1925850.0,23,78
582,다사570258,9.00,957050.0,1925850.0,23,79
583,다사571258,6.00,957150.0,1925850.0,23,80
584,다사572258,,957250.0,1925850.0,23,81
585,다사573258,,957350.0,1925850.0,23,82
586,다사574258,,957450.0,1925850.0,23,83
587,다사575258,,957550.0,1925850.0,23,84
588,다사576258,,957650.0,1925850.0,23,85
589,다사577258,,957750.0,1925850.0,23,86
590,다사578258,,957850.0,1925850.0,23,87
591,다사579258,,957950.0,1925850.0,23,88
592,다사580258,,958050.0,1925850.0,23,89
593,다사581258,,958150.0,1925850.0,23,90
594,다사582258,,958250.0,1925850.0,23,91
595,다사583258,,958350.0,1925850.0,23,92
596,다사584258,,958450.0,1925850.0,23,93
597,다사585258,,958550.0,1925850.0,23,94
598,다사586258,,958650.0,1925850.0,23,95
599,다사587258,,958750.0,1925850.0,23,96
600,다사588258,,958850.0,1925850.0,23,97
